,Unnamed: 0,class number,class name,English_name,Scientific_name,type,sound_type
19,19,19,"Dendrocopos major, Dendrocopos major, drumming",Great Spotted Woodpecker,Dendrocopos major,bird,"Dendrocopos major, drumming"
20,20,20,"Emberiza cirlus, Emberiza cirlus, call",Cirl Bunting,Emberiza cirlus,bird,"Emberiza cirlus, call"
21,21,21,"Emberiza cirlus, Emberiza cirlus, song",Cirl Bunting,Emberiza cirlus,bird,"Emberiza cirlus, song"
22,22,22,"Erithacus rubecula, Erithacus rubecula, call",European Robin,Erithacus rubecula,bird,"Erithacus rubecula, call"
23,23,23,"Erithacus rubecula, Erithacus rubecula, song",European Robin,Erithacus rubecula,bird,"Erithacus rubecula, song"
24,24,24,"Fringilla coelebs, Fringilla coelebs, call",Common Chaffinch,Fringilla coelebs,bird,"Fringilla coelebs, call"
25,25,25,"Fringilla coelebs, Fringilla coelebs, song",Common Chaffinch,Fringilla coelebs,bird,"Fringilla coelebs, song"
26,26,26,"Galerida cristata, Galerida cristata, call",Crested Lark,Galerida cristata,bird,"Galerida cristata, call"
27,27,27,"Galerida cristata, Galerida cristata, song",Crested Lark,Galerida cristata,bird,"Galerida cristata, song"
28,28,28,"Galerida theklae, Galerida theklae, call",Thekla Lark,Galerida theklae,bird,"Galerida theklae, call"
29,29,29,"Galerida theklae, Galerida theklae, song",Thekla Lark,Galerida theklae,bird,"Galerida theklae, song"
30,30,30,"Garrulus glandarius, Garrulus glandarius, call",Eurasian Jay,Garrulus glandarius,bird,"Garrulus glandarius, call"
31,31,31,"Hirundo rustica, Hirundo rustica, call",Barn Swallow,Hirundo rustica,bird,"Hirundo rustica, call"
32,32,32,"Jynx torquilla, Jynx torquilla, song",Eurasian Wryneck,Jynx torquilla,bird,"Jynx torquilla, song"
33,33,33,"Lophophanes cristatus, Lophophanes cristatus, call",European Crested Tit,Lophophanes cristatus,bird,"Lophophanes cristatus, call"
34,34,34,"Loxia curvirostra, Loxia curvirostra, call",Red Crossbill,Loxia curvirostra,bird,"Loxia curvirostra, call"
35,35,35,"lullula arborea, lullula arborea, song",Woodlark,lullula arborea,bird,"lullula arborea, song"
36,36,36,"Luscinia megarhynchos, Luscinia megarhynchos, call",Common Nightingale,Luscinia megarhynchos,bird,"Luscinia megarhynchos, call"
37,37,37,"Luscinia megarhynchos, Luscinia megarhynchos, song",Common Nightingale,Luscinia megarhynchos,bird,"Luscinia megarhynchos, song"
38,38,38,"Lyristes plebejus, Lyristes plebejus, song",Common Cicada,Lyristes plebejus,insect,"Lyristes plebejus, song"
39,39,39,"Motacilla cinerea, Motacilla cinerea, call",Grey Wagtail,Motacilla cinerea,bird,"Motacilla cinerea, call"
40,40,40,"Muscicapa striata, Muscicapa striata, call",Spotted Flycatcher,Muscicapa striata,bird,"Muscicapa striata, call"
41,41,41,"Oriolus oriolus, Oriolus oriolus, call",Eurasian Golden Oriole,Oriolus oriolus,bird,"Oriolus oriolus, call"
42,42,42,"Oriolus oriolus, Oriolus oriolus, song",Eurasian Golden Oriole,Oriolus oriolus,bird,"Oriolus oriolus, song"
43,43,43,"Periparus ater, Periparus ater, call",Coal Tit,Periparus ater,bird,"Periparus ater, call"
44,44,44,"Periparus ater, Periparus ater, song",Coal Tit,Periparus ater,bird,"Periparus ater, song"
45,45,45,"Cyanistes caeruleus, Cyanistes caeruleus, call",Blue Tit,Cyanistes caeruleus,bird,"Cyanistes caeruleus, call"
46,46,46,"Cyanistes caeruleus, Cyanistes caeruleus, song",Blue Tit,Cyanistes caeruleus,bird,"Cyanistes caeruleus, song"
47,47,47,"Parus major, Parus major, call",Great Tit,Parus major,bird,"Parus major, call"
48,48,48,"Parus major, Parus major, song",Great Tit,Parus major,bird,"Parus major, song"
49,49,49,"Passer domesticus, Passer domesticus, call",House Sparrow,Passer domesticus,bird,"Passer domesticus, call"
50,50,50,"Pelophylax kl. grafi, Pelophylax kl. grafi, call",Graf's Hybrid Frog,Pelophylax kl. grafi,amphibian,"Pelophylax kl. grafi, call"
51,51,51,"Petronia petronia, Petronia petronia, call",Rock Sparrow,Petronia petronia,bird,"Petronia petronia, call"
52,52,52,"Petronia petronia, Petronia petronia, song",Rock Sparrow,Petronia petronia,bird,"Petronia petronia, song"
53,53,53,"Pholidoptera femorata, Pholidoptera femorata, song",Fallow Bush-cricket,Pholidoptera femorata,insect,"Pholidoptera femorata, song"
54,54,54,"Phylloscopus collybita, Phylloscopus collybita, call",Common Chifchaff,Phylloscopus collybita,bird,"Phylloscopus collybita, call"
55,55,55,"Phylloscopus collybita, Phylloscopus collybita, song",Common Chifchaff,Phylloscopus collybita,bird,"Phylloscopus collybita, song"
56,56,56,"Pica pica, Pica pica, call",Eurasian Magpie,Pica pica,bird,"Pica pica, call"
57,57,57,"Platycleis affinis, Platycleis affinis, song",Coastal Bush-cricket,Platycleis affinis,insect,"Platycleis affinis, song"
58,58,58,"Platycleis sabulosa, Platycleis sabulosa, song",Sand Bush-Cricket,Platycleis sabulosa,insect,"Platycleis sabulosa, song"
59,59,59,"Poecile palustris, Poecile palustris, call",Marsh Tit,Poecile palustris,bird,"Poecile palustris, call"
60,60,60,"Poecile palustris, Poecile palustris, song",Marsh Tit,Poecile palustris,bird,"Poecile palustris, song"
61,61,61,"Prunella modularis, Prunella modularis, song",Dunnock,Prunella modularis,bird,"Prunella modularis, song"
62,62,62,"Pteronemobius heydenii, Pteronemobius heydenii, song",Marsh Cricket,Pteronemobius heydenii,insect,"Pteronemobius heydenii, song"
63,63,63,"Pyrrhula pyrrhula, Pyrrhula pyrrhula, call",Eurasian Bullfinch,Pyrrhula pyrrhula,bird,"Pyrrhula pyrrhula, call"
64,64,64,"Regulus ignicapilla, Regulus ignicapilla, call",Common Firecrest,Regulus ignicapilla,bird,"Regulus ignicapilla, call"
65,65,65,"Regulus ignicapilla, Regulus ignicapilla, song",Common Firecrest,Regulus ignicapilla,bird,"Regulus ignicapilla, song"
66,66,66,"Serinus serinus, Serinus serinus, call",European Serin,Serinus serinus,bird,"Serinus serinus, call"
67,67,67,"Serinus serinus, Serinus serinus, song",European Serin,Serinus serinus,bird,"Serinus serinus, song"
68,68,68,"Sitta europaea, Sitta europaea, call",Eurasian Nuthatch,Sitta europaea,bird,"Sitta europaea, call"
69,69,69,"Sitta europaea, Sitta europaea, song",Eurasian Nuthatch,Sitta europaea,bird,"Sitta europaea, song"
70,70,70,"Streptopelia decaocto, Streptopelia decaocto, song",Eurasian Collared Dove,Streptopelia decaocto,bird,"Streptopelia decaocto, song"
71,71,71,"Streptopelia turtur, Streptopelia turtur, song",European Turtle Dove,Streptopelia turtur,bird,"Streptopelia turtur, song"
72,72,72,"Sturnus vulgaris, Sturnus vulgaris, call",Common Starling,Sturnus vulgaris,bird,"Sturnus vulgaris, call"
73,73,73,"Sylvia atricapilla, Sylvia atricapilla, call",Eurasian Blackcap,Sylvia atricapilla,bird,"Sylvia atricapilla, call"
74,74,74,"Sylvia atricapilla, Sylvia atricapilla, song",Eurasian Blackcap,Sylvia atricapilla,bird,"Sylvia atricapilla, song"
75,75,75,"Sylvia cantillans, Sylvia cantillans, call",Subalpine Warbler,Sylvia cantillans,bird,"Sylvia cantillans, call"
76,76,76,"Sylvia cantillans, Sylvia cantillans, song",Subalpine Warbler,Sylvia cantillans,bird,"Sylvia cantillans, song"
77,77,77,"Sylvia melanocephala, Sylvia melanocephala, call",Mediterranean Warbler,Sylvia melanocephala,bird,"Sylvia melanocephala, call"
78,78,78,"Sylvia melanocephala, Sylvia melanocephala, song",Mediterranean Warbler,Sylvia melanocephala,bird,"Sylvia melanocephala, song"
79,79,79,"Sylvia undata, Sylvia undata, call",Dartford Warbler,Sylvia undata,bird,"Sylvia undata, call"
80,80,80,"Sylvia undata, Sylvia undata, song",Dartford Warbler,Sylvia undata,bird,"Sylvia undata, song"
81,81,81,"Tettigettula pygmea, Tettigettula pygmea, song",Pygmy Cicada,Tettigettula pygmea,insect,"Tettigettula pygmea, song"
82,82,82,"Tibicina tomentosa, Tibicina tomentosa, song",Tomentous Cicada,Tibicina tomentosa,insect,"Tibicina tomentosa, song"
83,83,83,"Troglodytes troglodytes, Troglodytes troglodytes, song",Winter Wren,Troglodytes troglodytes,bird,"Troglodytes troglodytes, song"
84,84,84,"Turdus merula, Turdus merula, call",Common Blackbird,Turdus merula,bird,"Turdus merula, call"
85,85,85,"Turdus merula, Turdus merula, song",Common Blackbird,Turdus merula,bird,"Turdus merula, song"
86,86,86,"Turdus philomelos, Turdus philomelos, call",Song Thrush,Turdus philomelos,bird,"Turdus philomelos, call"
87,87,87,"Turdus philomelos, Turdus philomelos, song",Song Thrush,Turdus philomelos,bird,"Turdus philomelos, song"
